month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acesunbu,pet,0.0272,0.0135,0.0256,0.0187,0.0325,daily
1,2,acesunbu,pet,0.0314,0.019,0.0276,0.0157,0.0433,daily
1,3,acesunbu,pet,0.0288,0.0217,0.0236,0.0118,0.0453,daily
1,4,acesunbu,pet,0.0301,0.0192,0.0276,0.0157,0.0453,daily
1,5,acesunbu,pet,0.03,0.0198,0.0276,0.0157,0.0374,daily
1,6,acesunbu,pet,0.031,0.0192,0.0315,0.0177,0.0413,daily
1,7,acesunbu,pet,0.0279,0.0191,0.0236,0.0157,0.0354,daily
1,8,acesunbu,pet,0.0271,0.0202,0.0236,0.0118,0.0335,daily
1,9,acesunbu,pet,0.0291,0.0185,0.0236,0.0157,0.0394,daily
1,10,acesunbu,pet,0.0305,0.0181,0.0315,0.0177,0.0433,daily
1,11,acesunbu,pet,0.0293,0.0191,0.0276,0.0118,0.0433,daily
1,12,acesunbu,pet,0.0324,0.0195,0.0276,0.0197,0.0472,daily
1,13,acesunbu,pet,0.0325,0.0183,0.0315,0.0157,0.0433,daily
1,14,acesunbu,pet,0.029,0.0167,0.0236,0.0118,0.0433,daily
1,15,acesunbu,pet,0.0347,0.0171,0.0394,0.0197,0.0472,daily
1,16,acesunbu,pet,0.0314,0.0167,0.0315,0.0197,0.0453,daily
1,17,acesunbu,pet,0.0335,0.0186,0.0315,0.0197,0.0433,daily
1,18,acesunbu,pet,0.0349,0.019,0.0315,0.0217,0.0472,daily
1,19,acesunbu,pet,0.0368,0.0192,0.0354,0.0276,0.0453,daily
1,20,acesunbu,pet,0.0337,0.0187,0.0276,0.0197,0.0413,daily
1,21,acesunbu,pet,0.0352,0.0179,0.0315,0.0197,0.0472,daily
1,22,acesunbu,pet,0.033,0.0156,0.0315,0.0197,0.0453,daily
1,23,acesunbu,pet,0.0323,0.0161,0.0276,0.0217,0.0413,daily
