month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,32.2177,8.9002,32.99,13.37,45.95,25.25,39.92,daily,tmmx,mdamoies
1,2,32.75,9.8448,35.24,7.97,44.51,23.945,41.585,daily,tmmx,mdamoies
1,3,32.12,9.9702,36.23,11.39,44.33,22.46,41,daily,tmmx,mdamoies
1,4,32.198,10.7013,33.35,4.37,47.57,24.71,40.1,daily,tmmx,mdamoies
1,5,31.088,11.7336,35.15,-0.85,43.43,24.17,40.19,daily,tmmx,mdamoies
1,6,32.486,9.2963,34.88,12.29,44.69,24.215,39.425,daily,tmmx,mdamoies
1,7,34.034,8.3385,36.32,9.95,46.13,31.19,38.57,daily,tmmx,mdamoies
1,8,34.514,6.8501,35.33,17.51,47.03,31.91,38.48,daily,tmmx,mdamoies
1,9,34.04,7.2251,35.6,12.65,42.71,30.65,39.11,daily,tmmx,mdamoies
1,10,33.98,8.2779,35.42,12.11,46.31,31.37,39.695,daily,tmmx,mdamoies
1,11,31.958,8.9822,33.08,11.75,45.23,27.05,39.335,daily,tmmx,mdamoies
1,12,32.21,9.7562,34.79,5.27,43.25,28.85,39.965,daily,tmmx,mdamoies
1,13,33.428,9.6983,35.15,10.31,45.05,30.155,40.37,daily,tmmx,mdamoies
1,14,34.61,9.4189,37.49,9.59,45.95,31.91,39.875,daily,tmmx,mdamoies
1,15,34.454,9.0039,35.33,10.85,48.65,30.92,40.235,daily,tmmx,mdamoies
1,16,33.812,7.6886,35.06,13.73,46.31,28.895,40.01,daily,tmmx,mdamoies
1,17,34.31,5.8448,34.61,17.15,43.79,30.29,38.12,daily,tmmx,mdamoies
1,18,36.176,5.9245,37.04,22.55,45.77,31.955,40.37,daily,tmmx,mdamoies
1,19,37.184,4.0421,37.04,31.01,45.59,33.935,39.515,daily,tmmx,mdamoies
1,20,36.218,4.0685,36.32,26.33,45.05,33.485,38.03,daily,tmmx,mdamoies
1,21,35.03,5.844,35.42,11.75,44.33,33.755,38.75,daily,tmmx,mdamoies
1,22,35.348,5.4067,34.61,22.19,46.49,32.54,37.085,daily,tmmx,mdamoies
1,23,35.828,6.0945,35.33,23.81,50.09,32.27,38.885,daily,tmmx,mdamoies
1,24,36.65,6.8665,36.23,25.79,48.47,32.45,40.55,daily,tmmx,mdamoies
1,25,36.812,7.8037,39.29,21.29,55.49,31.73,41.63,daily,tmmx,mdamoies
1,26,36.572,7.8569,37.58,14.99,50.27,33.215,41.765,daily,tmmx,mdamoies
1,27,36.758,7.094,36.23,21.11,50.63,32.54,41.72,daily,tmmx,mdamoies
1,28,35.816,7.7368,35.42,11.57,49.73,32.675,40.685,daily,tmmx,mdamoies
1,29,35.978,7.8455,35.96,10.49,50.81,33.26,41.405,daily,tmmx,mdamoies
1,30,36.308,8.5784,38.03,5.45,50.45,31.955,42.125,daily,tmmx,mdamoies
1,31,37.16,8.7895,38.12,16.07,53.33,33.26,42.26,daily,tmmx,mdamoies
2,1,37.178,9.6061,38.57,15.53,60.35,32.81,42.62,daily,tmmx,mdamoies
2,2,37.01,9.4575,38.57,10.31,51.17,34.205,42.62,daily,tmmx,mdamoies
2,3,36.872,8.3981,36.59,13.55,53.51,33.395,40.82,daily,tmmx,mdamoies
2,4,37.85,9.4967,37.76,8.15,53.15,34.205,43.385,daily,tmmx,mdamoies
2,5,38.42,9.355,40.1,2.75,48.65,35.735,44.915,daily,tmmx,mdamoies
2,6,38.186,10.3602,39.74,-2.65,57.65,35.87,44.15,daily,tmmx,mdamoies
2,7,38.114,9.5266,39.56,9.95,51.89,35.33,43.7,daily,tmmx,mdamoies
2,8,38.15,9.4771,38.66,19.31,56.57,34.655,44.915,daily,tmmx,mdamoies
2,9,36.86,8.4892,38.75,9.77,48.65,34.655,41.225,daily,tmmx,mdamoies
2,10,37.136,7.7046,37.31,8.51,49.37,33.98,41.225,daily,tmmx,mdamoies
2,11,38.096,7.4969,38.57,15.89,54.77,35.15,41.585,daily,tmmx,mdamoies
2,12,39.062,7.4901,38.93,16.79,51.17,36.23,43.52,daily,tmmx,mdamoies
2,13,39.92,7.6162,40.46,17.15,58.55,37.355,43.835,daily,tmmx,mdamoies
2,14,38.966,6.6236,38.93,23.27,54.95,36.275,41.63,daily,tmmx,mdamoies
2,15,39.566,7.249,40.19,17.15,54.23,35.915,43.115,daily,tmmx,mdamoies
2,16,40.01,7.9362,41.81,8.69,50.27,38.75,43.7,daily,tmmx,mdamoies
2,17,39.59,8.8049,41.99,11.57,50.81,38.795,43.88,daily,tmmx,mdamoies
2,18,38.882,7.9518,40.37,18.77,50.27,38.165,42.71,daily,tmmx,mdamoies
2,19,39.242,8.2078,40.55,14.45,52.97,36.14,43.925,daily,tmmx,mdamoies
2,20,39.62,8.1921,40.82,11.39,58.55,36.68,44.06,daily,tmmx,mdamoies
2,21,40.382,8.6335,40.82,17.33,59.63,36.635,45.995,daily,tmmx,mdamoies
2,22,40.334,8.2863,41.9,21.65,54.77,36.275,46.265,daily,tmmx,mdamoies
2,23,39.782,8.3659,39.92,21.47,56.21,36.095,45.185,daily,tmmx,mdamoies
2,24,38.15,8.8031,38.75,19.13,59.45,33.935,44.645,daily,tmmx,mdamoies
2,25,38.39,9.6017,39.2,12.47,54.05,33.26,45.635,daily,tmmx,mdamoies
2,26,38.198,9.5754,38.84,12.29,54.05,34.115,44.15,daily,tmmx,mdamoies
2,27,38.858,9.0807,38.21,16.07,52.79,34.385,46.175,daily,tmmx,mdamoies
2,28,42.164,8.9094,41.81,24.35,63.05,38.93,46.265,daily,tmmx,mdamoies
2,29,46.58,7.2964,46.13,32.27,55.13,44.735,51.35,daily,tmmx,mdamoies
3,1,41.756,9.4694,42.89,11.57,57.29,38.39,46.49,daily,tmmx,mdamoies
3,2,43.442,9.6583,44.24,11.75,60.53,40.415,49.415,daily,tmmx,mdamoies
3,3,44.426,9.4304,44.6,11.75,59.27,39.335,50.225,daily,tmmx,mdamoies
3,4,44.828,8.9081,44.96,12.11,59.99,40.28,50.225,daily,tmmx,mdamoies
3,5,44.582,9.2649,43.79,12.65,59.45,40.64,51.035,daily,tmmx,mdamoies
3,6,45.302,9.3349,45.05,25.79,64.85,38.525,51.305,daily,tmmx,mdamoies
3,7,45.914,7.5559,44.96,31.73,59.81,40.19,50.945,daily,tmmx,mdamoies
3,8,46.346,7.1566,46.76,27.77,58.55,41.855,50.585,daily,tmmx,mdamoies
3,9,47.768,7.8763,48.56,31.19,63.41,43.34,51.755,daily,tmmx,mdamoies
3,10,48.776,8.9071,48.56,25.25,67.91,44.69,54.005,daily,tmmx,mdamoies
3,11,48.71,8.1413,49.01,29.93,64.31,44.15,54.59,daily,tmmx,mdamoies
3,12,49.358,7.1052,49.19,33.71,61.79,45.59,54.455,daily,tmmx,mdamoies
3,13,50.336,7.6003,49.91,34.07,66.47,45.635,53.285,daily,tmmx,mdamoies
3,14,49.118,9.2542,48.02,24.71,66.29,43.115,55.625,daily,tmmx,mdamoies
3,15,49.934,8.2669,49.82,26.87,68.81,44.51,54.05,daily,tmmx,mdamoies
